Stn_No,Lat,Long
53748,37.11,109.42
53750,37.46,110.1
53751,37.36,110.03
53753,37.26,110.53
53754,37.3,110.13
53756,37.31,110.43
53757,37.07,110.07
53759,36.59,110.5
53760,37.53,111.14
53763,37.55,112.1
53764,37.3,111.06
53767,37.2,111.1
53768,37.09,111.45
53769,37.15,111.47
53770,37.21,112.21
53771,37.27,112.03
53772,37.47,112.33
53773,36.2,114.37
53774,37.37,112.2
53775,37.26,112.32
53776,37.41,112.46
53777,37.32,112.09
53778,37.11,112.13
53780,37.54,113.1
53781,36.52,114.28
53782,37.51,113.33
53783,37.36,113.42
53784,37.45,114.47
53785,37.3,114.41
53786,37.05,113.22
53787,37.04,112.59
53788,37.2,113.34
53789,37.53,114.38
53790,37.36,114.37
53791,37.45,114.32
53792,37.27,114.23
53793,37.1,113.57
53794,37.21,114.45
53795,37.39,114.22
53796,37.37,114.53
53797,37.17,114.3
53798,37.04,114.3
53799,37.13,115.02
53806,36.34,105.39
53810,36.59,105.54
53817,36.0,106.16
53821,36.35,107.18
53829,35.59,107.54
53832,36.46,108.46
53841,36.53,109.19
53845,36.36,109.3
53848,36.16,109.21
53850,36.53,110.11
53852,36.46,110.38
53853,36.42,110.57
53854,36.35,110.04
53856,36.28,110.45
53857,36.04,110.11
53859,36.06,110.4
53860,36.59,111.1
53861,35.53,111.25
53862,36.51,111.48
53863,37.02,111.55
53864,36.24,111.06
53865,36.39,111.33
53866,36.14,111.4
53868,36.04,111.3
53869,36.35,111.43
53871,36.5,112.51
53872,36.46,112.41
53873,36.07,112.52
53874,36.16,111.55
53875,36.31,112.21
53877,36.1,112.15
53878,36.31,113.23
53879,36.19,112.53
53880,36.2,113.14
53881,37.17,106.29
53882,36.03,113.04
53883,37.08,114.42
53884,36.31,113.02
53885,36.08,113.12
53886,36.34,113.4
53888,36.12,113.26
53889,36.04,113.49
53890,36.43,114.12
53891,37.0,114.41
53892,36.36,114.3
53893,36.46,114.57
53894,36.25,114.13
53895,36.46,114.3
53896,36.21,114.57
53897,36.23,114.23
53898,36.07,114.22
53899,36.29,114.58
53903,35.58,105.43
53906,35.31,105.43
53908,35.13,105.14
53910,35.4,106.12
